text_index,hashtag,company
579,NFLPlayoffs,Apple
579,iPhone11ProMax,Apple
579,KCvsTen,Apple
579,GBvsSF,Apple
581,respectthesend,Apple
581,supportthesend,Apple
581,theshredshippic,Apple
586,Mac,Apple
586,laptop,Apple
586,Apple,Apple
587,iphone,Apple
587,iphone,Apple
587,iphone11,Apple
587,iphone11max,Apple
587,notworththemoneyspent,Apple
593,Apple,Apple
593,Joker,Apple
597,AppleCard,Apple
598,FAILpic,Apple
603,emoji,Apple
603,chip,Apple
603,SocialCreditSystem,Apple
603,favorite,Apple
603,ConspiracyTheories,Apple
605,100DaysOfCode,Apple
605,womenwhocode,Apple
605,codenewbie,Apple
605,mbp2019,Apple
605,problemspic,Apple
608,testimonial,Apple
609,lastiphoneiwillown,Apple
609,iphone,Apple
609,iPhone11,Apple
609,iPhone11ProMax,Apple
609,apple,Apple
610,iPhone,Apple
611,iPhone,Apple
612,accessibility,Apple
612,accessibilityforall,Apple
613,AppleWatch,Apple
624,Apple,Apple
624,iOS13,Apple
624,lessback,Apple
624,AirPodshttps,Apple
626,iPhoneX,Apple
626,11pro,Apple
626,iPhoneX,Apple
626,Preis,Apple
626,Apple,Apple
626,Huawei,Apple
637,ios,Apple
637,iosdev,Apple
637,carplay,Apple
637,developer,Apple
637,iosdevelopment,Apple
637,appledev,Apple
641,timapple,Apple
641,nogroupchats,Apple
646,CommodoreComputer,Apple
652,AirPodsPro,Apple
655,LetsTalkAboutIt,Apple
658,tech,Apple
659,SPACE,Apple
670,apple,Apple
670,AppleWatch,Apple
670,bond,Apple
683,AI,Apple
683,Future,Apple
683,Devices,Apple
705,andyouareimpressingme,Apple
705,on,Apple
705,Lahmon,Apple
713,Gov,Apple
729,shotoniphone,Apple
729,AppleWatchSeries5,Apple
737,iPhone12propic,Apple
738,WinterStorm,Apple
742,supplychain,Apple
742,Iphone,Apple
742,logistics,Apple
742,blog,Apple
749,SamsungGalaxys20ultrapic,Apple
757,iphones,Apple
759,InternetFreedomDay,Apple
784,iPhone11Pro,Apple
784,AmazonIndia,Apple
786,GoodNews,Apple
796,Uyghur,Apple
796,HongKongProtests,Apple
796,nazi,Apple
807,applestore,Apple
809,MacBookPro,Apple
814,Roma,Apple
814,Rome,Apple
814,iPhone,Apple
816,ios13,Apple
816,bigask,Apple
827,linenews,Apple
837,mail,Apple
837,notes,Apple
837,phone,Apple
837,message,Apple
839,macOS,Apple
839,Safari,Apple
840,StillRockingiPhone6SPlus,Apple
842,iPhone11ProMax,Apple
843,CE,Apple
848,iPhone11,Apple
848,locationtracking,Apple
848,Apple,Apple
848,iPhone,Apple
848,privacy,Apple
848,surveillance,Apple
848,surveillancemarketing,Apple
848,security,Apple
848,cybersecurity,Apple
848,tech,Apple
848,technology,Apple
848,mobile,Apple
848,gadgets,Apple
853,iphone,Apple
869,Apple,Apple
869,AGBarr,Apple
871,classroomtech,Apple
882,iphone11,Apple
883,Store,Apple
883,MacPro,Apple
883,Apple,Apple
887,NamesOfGod,Apple
887,ATLCalligrapher,Apple
887,iPadPro,Apple
888,AI,Apple
893,Designers,Apple
898,rocket,Apple
928,ChupaApple,Apple
933,iMovie,Apple
933,Keynote,Apple
945,laptop,Apple
945,customers,Apple
945,services,Apple
945,Extremely,Apple
945,disappointed,Apple
954,safearea,Apple
954,safeareaview,Apple
954,html,Apple
954,webdev,Apple
979,shotoniphone,Apple
999,NoSelfControl,Apple
999,MindfulMode,Apple
1000,sorryforyourloss,Apple
1008,faulty,Apple
1008,iPhoneXR,Apple
1024,日本語,Apple
1030,ShotoniPhone,Apple
1030,NightmodeChallenge,Apple
1030,iPhone11ProMax,Apple
1039,iPatch,Apple
1039,SeeEverythingMissNothingpic,Apple
1042,apple,Apple
1042,Kuwait,Apple
1042,ShotOniPhone,Apple
1042,ShotOniPhone11ProMax,Apple
1043,getoffmylawn,Apple
1054,cuttingedgetech,Apple
1059,OnkstApple,Apple
1064,applewatch,Apple
1064,applepic,Apple
1074,12DaysOfDoris,Apple
1086,Helpsters,Apple
1095,BRINGEDEKATOUK2020,Apple
1102,BerkeleyMIMS,Apple
1102,uxdesign,Apple
1102,BerkeleyISchoolAlumnipic,Apple
1105,iPhone11Pro,Apple
1106,AppleStoreDowntownBrooklyn,Apple
1112,RIPhandheldCanonCamerapic,Apple
1114,wealthmanagement,Apple
1114,SuperApp,Apple
1114,InvestWest,Apple
1114,InvestWest2019pic,Apple
1142,AirPodsPro,Apple
1147,Kavanaugh,Apple
1148,Bitcoin,Apple
1154,MacbookPro16,Apple
1167,phishing,Apple
1168,phishing,Apple
1171,iPhone,Apple
1171,DFEOJM,Apple
1172,phishing,Apple
1176,shotoniphonehttps,Apple
1180,phishing,Apple
1182,iPhone11Pro,Apple
1189,shotoniphone,Apple
1189,lacsspic,Apple
1192,US,Apple
1192,Military,Apple
1192,Veterans,Apple
1193,phishing,Apple
1194,lacss,Apple
1194,shotoniphone,Apple
1196,RoboTaxis,Apple
1196,iOS,Apple
1196,AV,Apple
1196,mobility,Apple
1197,BRINGBACKPLACESIVEPOOPEDpic,Apple
1201,HALSEYxSUGA,Apple
1201,SUGAxHalsey,Apple
1201,SUGAsInterludeIsOutNow,Apple
1211,AirPodsPropic,Apple
1222,larrypage,Apple
1222,stevejobs,Apple
